user,business_id,name,address,city,state,postal_code,stars,hyperlink
Dwayne,LYLHhcGXbbjR-vPryymnDA,La Chapinita,804 Chambers St,Trenton,NJ,8611.0,4.0,https://storage.googleapis.com/2024capstone51/photos/scT9D4z-kb3TjBFHrqkQ6g.jpg
Dwayne,4-3uxATguYTXlFfNxwEfPQ,El Rinconcito,7001 West Chester Pike,Upper Darby,PA,19082.0,3.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Dwayne,-nEsM53i_wmt9wpSlQm1Rg,El Potrillo Mexican Restaurant,541 Roebling Ave,Trenton,NJ,8611.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Dwayne,A0QbndhHwlqfY0McSy-xQA,Los Gemelos Family Restaurant,301 E Reliance Rd,Telford,PA,18969.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Dwayne,YwzRaMUE6jei96h_pZvCDg,Mi Tierra,550 S Clinton Ave,Trenton,NJ,8611.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Dwayne,mumrJjurozeNO1lqcUBcMw,Juan Carlos Fine Mexican Cuisine,235 E High St,Pottstown,PA,19464.0,3.5,https://storage.googleapis.com/2024capstone51/photos/n8zuvABioYZ001J3Gi2ZnA.jpg
Dwayne,qr7meXBoHjezOYUWMj9O4w,Nora's Kitchen,248 South St,Philadelphia,PA,19147.0,4.5,https://storage.googleapis.com/2024capstone51/photos/NXI3GbCpTMagKHa6rJngpQ.jpg
Dwayne,zQPHrply2yeB1EGNnoS66A,Andale Latino Grill,144 E Street Rd,Feasterville-Trevose,PA,19053.0,4.5,https://storage.googleapis.com/2024capstone51/photos/mgrwsUsYg3zvES2o1tGBzw.jpg
Cee,WJN51928dvjYmaFw-zPKXg,D'S Caribbean And American Food,3009 N 22nd St,Philadelphia,PA,19132.0,3.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Cee,BnbHihkBM50Xq-uBy5bpcg,Cajun Kate's Philly Pike,722 Philadelphia Pike,Wilmington,DE,19809.0,4.5,https://storage.googleapis.com/2024capstone51/photos/4dLDY5KniaimDnERw6owqg.jpg
Cee,LnI2XHbeEiF4a0yTkJf-Yg,The Social,117 E Gay St,West Chester,PA,19380.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Cee,V6Om7YZhlRQRU7WfuxHq8Q,Beck's Cajun Cafe,51 N 12th St,Philadelphia,PA,19107.0,4.0,https://storage.googleapis.com/2024capstone51/photos/z1u1hSTvEuPKskJSZxxwXQ.jpg
Cee,8-CnBPjMxQj195wDxZrHEA,Beck's Cajun Cafe,2955 Market St,Philadelphia,PA,19104.0,3.5,https://storage.googleapis.com/2024capstone51/photos/Tyqdr7R3MOur34Q_r2x31A.jpg
Cee,CVWC6KnLl9_203MzbAQbcg,Oceancrat The Boiling Seafood,28 Church Rd,Maple Shade,NJ,8052.0,4.0,https://storage.googleapis.com/2024capstone51/photos/nfcd9qwbfxTOjs65GNN-BQ.jpg
Cee,dISs1oH_xeNAOOEcmJiGZQ,Cajun Kate's,1362 Naamans Creek Rd,Boothwyn,PA,19061.0,5.0,https://storage.googleapis.com/2024capstone51/photos/ZPJ-fDfoxmHNB0xsn4hgNg.jpg
Justin,Z69P_L-gUbZpa6SQ57RuGg,Jamaican D's,1700 Spring Garden St,Philadelphia,PA,19130.0,4.5,https://storage.googleapis.com/2024capstone51/photos/XG138ZLNCMFLlUMcutnK0A.jpg
Justin,6W7BXh5dHiWml8zwvvtR4Q,Euro Delights,1600 Green Hill Rd,Collegeville,PA,19426.0,4.5,https://storage.googleapis.com/2024capstone51/photos/_19s57G-8pXlpzgnsUdF2A.jpg
Justin,hZfGntDJ6SvXhcWLfkCFSg,Pizza Box Thorndale,4329 W Lincoln Hwy,Downingtown,PA,19335.0,4.0,https://storage.googleapis.com/2024capstone51/photos/uXkaUi2F0myziIYQ2Ry7OA.jpg
Justin,PecqcrdE7BPxKPO7VRtfiA,Tung's Gardens,1169 W Baltimore Pike,Media,PA,19063.0,3.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Jeff,WQKaYLa_hvK3_N2AHc0thQ,The Purple Penguin,1008 Harding Hwy,Newfield,NJ,8344.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Jeff,i0b_xiKIbExKtF3vqo1Bzw,Shake Shack,3601 S Broad St,Philadelphia,PA,19148.0,4.0,https://storage.googleapis.com/2024capstone51/photos/AP6i8GDWMZU-R9bNVUXsPw.jpg
Jeff,AuSeNnGOZkOdlyENEx_KDg,The Burgerly,137 S Main St,New Hope,PA,18938.0,5.0,https://storage.googleapis.com/2024capstone51/photos/W-UtLFZpbrUxMUKQBG0tUw.jpg
Jeff,fNEQqFCwj9cLw-kqLyHuHQ,Richman's Ice Cream,6935 Bristol Emilie Rd,Levittown,PA,19057.0,3.5,https://storage.googleapis.com/2024capstone51/photos/lmW1ZFHM8h3Mprr3MM9D7Q.jpg
Jeff,BxfvdHqETU8jWYUjx5OL2A,Shake Shack,2000 Sansom St,Philadelphia,PA,19103.0,3.5,https://storage.googleapis.com/2024capstone51/photos/Px-ltpE2D8Iash9H3b5Saw.jpg
Jeff,1TMkNxmaJuMCZh1osxizPA,Shake Shack,3200 Chestnut St,Philadelphia,PA,19104.0,3.5,https://storage.googleapis.com/2024capstone51/photos/gM14v03PbmEp8SOu_9-7ig.jpg
Eric,xHsCrn35_NHPoEiBs9kWwg,Cappelli Brothers Cigar Company,211 S 13th St,Philadelphia,PA,19107.0,4.5,https://storage.googleapis.com/2024capstone51/photos/4rBT71wjep6UFA1O74APnQ.jpg
Eric,cY4G5wyUuaHrkCiLNlsV8A,Planet RYO,"555 E Gay St, Ste 28",West Chester,PA,19380.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Eric,JhAyG4TYH9sFGVGhxjHsSQ,Smoker's Zone,6810 Rising Sun Ave,Philadelphia,PA,19111.0,5.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Eric,qDCTg0izNlCMph9iH6riow,Maja-Flava Vape Den,2 E Scott St,Riverside,NJ,8075.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Eric,Uza-ht4YQOVr2-G8T1peUQ,Classic Cigar Parlor,12 N Main St,Doylestown,PA,18901.0,3.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Jessica,FjgPNVFrbL924rNUMm8nBg,Jessop's Tavern,114 Delaware St,New Castle,DE,19720.0,4.0,https://storage.googleapis.com/2024capstone51/photos/mZt6tnkr06SlwXItsHShmw.jpg
Jessica,Ims_IgNKoDts2FdFNROQJQ,Los Machetes Authentic Mexican Restaurant,856 Chester Pike,Prospect Park,PA,19076.0,4.0,https://storage.googleapis.com/2024capstone51/photos/YmzPoKTrKVG2ffUt6fGonA.jpg
Jessica,woTZpX92uByUgliPrh39Mg,Ocean Prime,124 S 15th St,Philadelphia,PA,19102.0,4.0,https://storage.googleapis.com/2024capstone51/photos/Z69cECnl6eVEtbmoLOHb_w.jpg
Jessica,n1gQguBwqKGBHjCojEDAog,Sweeney's Station Saloon,13639 Philmont Ave,Philadelphia,PA,19116.0,3.5,https://storage.googleapis.com/2024capstone51/photos/IkOTs4IfU6C0HAgQTDRK1g.jpg
Jessica,9KBYd2U-in2lToO98Z8lRg,Allora,892 Rt 73 N Marlton,Evesham Township,NJ,8053.0,4.0,https://storage.googleapis.com/2024capstone51/photos/-pRrL6A2IYI4Q-Hv49bGHw.jpg
Jessica,bNssht6kNekjlmT5YErBew,Manam Indian Cuisine,124 Lancaster Ave,Malvern,PA,19355.0,4.0,https://storage.googleapis.com/2024capstone51/photos/URPa8PqY7YBcc9EKDbaktA.jpg
Jessica,hSjIKNd28kvm49S-ges5mA,Enza Pizzeria,909 E Willow Grove Ave,Wyndmoor,PA,19038.0,4.0,https://storage.googleapis.com/2024capstone51/photos/CHIALUA__An7QnKMOmeIQQ.jpg
Jessica,L4kfcADLCU4T33i7Z0CkuA,Bistro Romano,120 Lombard St,Philadelphia,PA,19147.0,4.0,https://storage.googleapis.com/2024capstone51/photos/MMSKwZT1zO9lUo5XE7V0QQ.jpg
Joey,gs_bPj-MhI4vwIVtr-6ZEQ,Craft Beer Store,35 Baltimore Pike,Springfield,PA,19064.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Joey,vBQIBNOXsVrGNWKwaYEi7Q,The StoneRose Restaurant,822 Fayette St,Conshohocken,PA,19428.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Joey,rC5S4DARymfyEgnDok3vKw,Autana Authentic Venezuelan Food,6 Station Rd,Ardmore,PA,19003.0,5.0,https://storage.googleapis.com/2024capstone51/photos/hb-3tG7L1Z337TkAKLzRFw.jpg
Joey,raXrqHPI0MmUdpJ9PC_T1g,la Padella,100 State Rd,Media,PA,19063.0,4.0,https://storage.googleapis.com/2024capstone51/photos/-ImVhhXhZ7hocwZPhLEU2A.jpg
Joey,mMJzvAZ-CWv0ymDoXhuEHA,Local Tap,527 S Broad St,Lansdale,PA,19446.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Joey,MCSyG3ndsNFJN-F9MQWM0A,The Foodery Chestnut Hill,7829 Germantown Ave,Philadelphia,PA,19118.0,4.0,https://storage.googleapis.com/2024capstone51/photos/grssAGZaCLbswsNAnuiKqg.jpg
Joey,F7jNP74WiqPZILJXGPByQw,Chadds Ford Tavern,1400 Baltimore Pike,Chadds Ford,PA,19317.0,3.5,https://storage.googleapis.com/2024capstone51/photos/BYcD276PkXzzk2dBnfCpyg.jpg
Joey,069mhRFwgkosLZmSTiqmHg,Famous Crab Cakes Prospect Park,913 Lincoln Ave,Prospect Park,PA,19076.0,4.5,https://storage.googleapis.com/2024capstone51/photos/ZznOCk-m_SgM5QSKHNuaUw.jpg
Vi,ZLjUCF2UaML7S5pSmn5BKg,Canopy by Hilton Philadelphia Center City,1180 Ludlow St,Philadelphia,PA,19107.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Vi,06Fw40aGMI_sInznweYLow,Hilton Garden Inn Valley Forge/Oaks,500 Cresson Blvd,Phoenixville,PA,19460.0,3.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Vi,Jwp0yYMeQHdPaZZA4DQ7qQ,Chuan Kee Skewer,927 Race St,Philadelphia,PA,19107.0,4.5,https://storage.googleapis.com/2024capstone51/photos/Bc1TFcqx7a9N5d1qF4z1qA.jpg
Vi,8MH8dtz8pW4FG0zRxcRFbw,Volcano Hot Pot,"1200 Welsh Rd, Ste B",NORTH WALES,PA,19454.0,4.0,https://storage.googleapis.com/2024capstone51/photos/626QaU7EVfbKz1x8tI29Yw.jpg
Vi,06Fw40aGMI_sInznweYLow,Hilton Garden Inn Valley Forge/Oaks,500 Cresson Blvd,Phoenixville,PA,19460.0,3.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Vi,CFlW9bfl4N63fZpQsZIkRQ,"The Logan Philadelphia, Curio Collection by Hilton",1 Logan Sq,Philadelphia,PA,19103.0,3.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Vi,06Fw40aGMI_sInznweYLow,Hilton Garden Inn Valley Forge/Oaks,500 Cresson Blvd,Phoenixville,PA,19460.0,3.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Vi,06Fw40aGMI_sInznweYLow,Hilton Garden Inn Valley Forge/Oaks,500 Cresson Blvd,Phoenixville,PA,19460.0,3.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
Jerry,ugSVRAKO6mxvsrElFg8USw,México Lindo,700 Moore St,Philadelphia,PA,19148.0,4.5,https://storage.googleapis.com/2024capstone51/photos/tQOkQh3wYZDfDtWm2fmptA.jpg
