business_id,name,address,city,state,postal_code,stars,hyperlink
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,935 Race St,Philadelphia,PA,19107.0,4.0,https://storage.googleapis.com/2024capstone51/photos/LES2DwureWWdytnvBp7g8w.jpg
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,205 Race St,Philadelphia,PA,19106.0,4.0,https://storage.googleapis.com/2024capstone51/photos/aJYu9pB8Ba1UvAZ8J62XHw.jpg
ROeacJQwBeh05Rqg7F6TCg,BAP,1224 South St,Philadelphia,PA,19147.0,4.5,https://storage.googleapis.com/2024capstone51/photos/O-v_FDpKSKjraOnIxaR1FQ.jpg
Ms5xG8i4p80KSMcF3tt4ug,Sal DeForte's Ristorante,1400 Parkway Ave,Ewing,NJ,8628.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,765 S 4th St,Philadelphia,PA,19147.0,4.5,https://storage.googleapis.com/2024capstone51/photos/6eoT5G2spR48Wto4WUZwTQ.jpg
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,219 S 52nd St,Philadelphia,PA,19139.0,4.5,https://storage.googleapis.com/2024capstone51/photos/x5ibuDqI6rM6duUFU7Envg.jpg
dChRGpit9fM_kZK5pafNyA,The Love,130 S 18th St,Philadelphia,PA,19103.0,4.0,https://storage.googleapis.com/2024capstone51/photos/gQLpNNRGWp4vcF5kPrx8kA.jpg
od6skmfXz9twktEAuJHEmw,Ryan Christopher,245 Woodbine Ave,Narberth,PA,19072.0,4.0,https://storage.googleapis.com/2024capstone51/photos/NQ5bybQnJlHvzO6FgtgKgg.jpg
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,6600 N 5th St,Philadelphia,PA,19126.0,4.5,https://storage.googleapis.com/2024capstone51/photos/3z_EpoYbDUsWtp4cOtB9zg.jpg
Wt1W6qwCvna1KzIuJRJbwA,Tokyo Mandarin,370 Delsea Dr N,Glassboro,NJ,8028.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,509 S 2nd St,Philadelphia,PA,19147.0,4.0,https://storage.googleapis.com/2024capstone51/photos/DSb5AXeDZGeGj78VXTVN6A.jpg
JPm93BlP-UHYPqFgK66JUw,Local Links,533 Station Ave,Haddon Heights,NJ,8035.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
TGfPJHImEq6AQL9a1laxlg,Chick-fil-A,9711 Roosevelt Blvd,Philadelphia,PA,19114.0,4.0,https://storage.googleapis.com/2024capstone51/photos/b8KSeTA18jc8WzHy-u__8w.jpg
VCkSUsdL5P0p16DAPxVROA,NY Bagel & Deli Shop,1120 Buttonwood St,Philadelphia,PA,19123.0,4.0,https://storage.googleapis.com/2024capstone51/photos/hwYNXotyk5wQJ-qOJ1KdeQ.jpg
SlLfWzeYOrVBxCd-0QILZQ,The Boiling House,"1990 Marlton Pike E, Ste 10",Cherry Hill,NJ,8003.0,4.0,https://storage.googleapis.com/2024capstone51/photos/jcicELRh4UmFoZCVx8RGfw.jpg
0sr1EyOc6Td1C-962QW88w,La Cucina Italian Eatery,1642 Butler Pike,Conshohocken,PA,19428.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
IbndcMURguByburM72o3SA,State Street Kitchen,24 S State St,Newtown,PA,18940.0,4.5,https://storage.googleapis.com/2024capstone51/photos/zA8Co8JkNLgmP4v_I_OcmQ.jpg
rF0xI_3jjlsEKp3N0Z0BuQ,Trattoria Totaro,639 Spring Mill Ave,Conshohocken,PA,19428.0,4.0,https://storage.googleapis.com/2024capstone51/photos/KSJM7rohZhKsJXjG26OXlA.jpg
dBCNUSbz5-8nQNrxWo5deg,Blue Sage Vegetarian Grille,727 2nd St Pike,Southampton,PA,18966.0,4.5,https://storage.googleapis.com/2024capstone51/photos/kFuOeW32f2YXHP14zzcjwg.jpg
Mt1FB8hM4XTi3Tk4i0q5gQ,Nicola's Pizza,8 N Franklin St,Lambertville,NJ,8530.0,4.0,https://storage.googleapis.com/2024capstone51/photos/2ln9LU9Rx2FlIRgRCy6h7A.jpg
JomDoQafikclSVVCPkWjnA,Cedar Park Cafe,4914 Baltimore Ave,Philadelphia,PA,19143.0,4.0,https://storage.googleapis.com/2024capstone51/photos/inHVvR_YwNHEIKpS7MKrJw.jpg
gyUBYwpUO_u0nqZdre4l1g,Shanghai Express,Church Rd & Hainespo,Marlton,NJ,8053.0,4.0,https://storage.googleapis.com/2024capstone51/photos/GbtXkJAIFuhePXPOr4l2ZA.jpg
kq5Ghhh14r-eCxlVmlyd8w,The Coventry Deli,2000 Market St,Philadelphia,PA,19103.0,4.0,https://storage.googleapis.com/2024capstone51/photos/-Sq5MJejIW9XA0wftphIGQ.jpg
NVpbPRDvfwjb85CJwWE0nQ,China Wok,545 Rockledge Ave,Huntingdon Valley,PA,19006.0,4.0,https://storage.googleapis.com/2024capstone51/photos/Oz6EEFIGyJXrel2GhXYz0Q.jpg
LVteL0Rnh2E_yOFCLJUPhg,Double Decker Pizza - Media,415 E Baltimore Ave,Media,PA,19063.0,4.0,https://storage.googleapis.com/2024capstone51/photos/MxZg2RFTrqDKFZ8EHKNDoA.jpg
y1HgVnt4K5owmYXC5yXLGg,Flambo Caribbean Restaurant,820 N Broad St,Philadelphia,PA,19130.0,4.5,https://storage.googleapis.com/2024capstone51/photos/ZqFdzor2BNOJFgzr-6ReZw.jpg
K5ffo0hkwhG33BDNQrJF6A,Slate Bleu Restaurant,100 S Main St,Doylestown,PA,18901.0,4.0,https://storage.googleapis.com/2024capstone51/photos/OA3ISGkFRR5w6gdNaKa8Og.jpg
T9n_LqUUhC2b1ALhg57Y5Q,Texas Roadhouse,1545 Street Rd,Bensalem,PA,19020.0,4.0,https://storage.googleapis.com/2024capstone51/photos/_ohuiT9aiYvz9xi_-3mhvA.jpg
NQSnr4RPUScss607oxOaqw,Chase's Hop Shop,7235 Rising Sun Ave,Philadelphia,PA,19111.0,4.5,https://storage.googleapis.com/2024capstone51/photos/--lRwPamtV4WMbl3MMhRCw.jpg
7utsfp2dXJ09j8Gb9hAIvA,Suzy-Jo Donuts,49 E 4th St,Bridgeport,PA,19405.0,4.5,https://storage.googleapis.com/2024capstone51/photos/8iBRm0uyR5ksaBWK-bzKlA.jpg
joeRm-_7T0XTkMdKo2nbaA,Paola's Pizzeria,128 N Wayne Ave,Wayne,PA,19087.0,4.5,https://storage.googleapis.com/2024capstone51/photos/TgjLpBV1Ke3B6-3ciLKu0A.jpg
k0AO8X3VzWe_F4lkMb0eSg,The Cubby Hole,"37 E Main St, FL 1",Moorestown,NJ,8057.0,4.5,https://storage.googleapis.com/2024capstone51/photos/cxD1Pk1oj787bKPCSC0uLg.jpg
V6Om7YZhlRQRU7WfuxHq8Q,Beck's Cajun Cafe,51 N 12th St,Philadelphia,PA,19107.0,4.0,https://storage.googleapis.com/2024capstone51/photos/z1u1hSTvEuPKskJSZxxwXQ.jpg
qUHaTDZlzjPXSvXrLk66mw,Rai Rai Ramen,1200 S Church St,Mount Laurel Township,NJ,8054.0,4.5,https://storage.googleapis.com/2024capstone51/photos/FBEXmu0dKonrjF1xB3hWkg.jpg
DOl21AqtT74dUZ3kvXNNcA,Golden Triangle,610 S 5th St,Philadelphia,PA,19147.0,4.5,https://storage.googleapis.com/2024capstone51/photos/vo1g5Ecxmq7Dx_arQA52cg.jpg
isbeaPln-E0DdffLRsuFhw,Francisco's On The River,1251 River Rd,Washington Crossing,PA,18977.0,4.0,https://storage.googleapis.com/2024capstone51/photos/oYJZ2fxx-NsNHb_vSX9i7w.jpg
ziFtaIQdzQfFL79iLTq_zQ,Zac's Hamburgers,1301 E Macdade Blvd,Folsom,PA,19033.0,4.0,https://storage.googleapis.com/2024capstone51/photos/puZzUx-scQ48fJdr1aanLQ.jpg
_1jlbXWMxN50PQlaRpev7A,Reytas Filipino Cuisine,1490 Haddonfield Berlin Rd,Cherry Hill,NJ,8003.0,4.5,https://storage.googleapis.com/2024capstone51/photos/fEw77eqTvinuOYUw36BogA.jpg
uxoQdZD3mEptaPohiLQg1w,Stone House Grille,1300 Hares Hill Rd,Kimberton,PA,19442.0,4.5,https://storage.googleapis.com/2024capstone51/photos/FnnarawAcU-17agUqsF8Gg.jpg
yzRC9gyhblU3a5hDct2S2Q,Hykel's Submarine Sandwich-Bar,2704 E County Line Rd,Ardmore,PA,19003.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
dERS4qwl9v-Gwft-Ug8APA,West Ave Grille Jenkintown Restaurant and Food Truck ,718 West Ave,Jenkintown,PA,19046.0,4.0,https://storage.googleapis.com/2024capstone51/photos/jfG6Tgnw3xFfIOaSZakSUQ.jpg
Xjal8g4PsYinAfeQ8RWf4Q,Wasabi2,1375 Dilworthtown Crossing,West Chester,PA,19382.0,4.5,https://storage.googleapis.com/2024capstone51/photos/Abo4TrTQaw4qUSGA2xfX_g.jpg
-JStjL-8mRZq4ov4uI1FaQ,Luberto's Brickoven Pizza,169 N Main St,Dublin,PA,18917.0,4.0,https://storage.googleapis.com/2024capstone51/photos/t_ALrn46VXOhfATn98Le8g.jpg
U30ggGzFpXvc2NZYwOW3qg,Mood Cafe,4618 Baltimore Ave,Philadelphia,PA,19143.0,4.5,https://storage.googleapis.com/2024capstone51/photos/7VsnkvkmouJyfrCALGvlWw.jpg
68ThEdiK0eWCEgGEmV9Tng,Southgate,1801 Lombard St,Philadelphia,PA,19146.0,4.0,https://storage.googleapis.com/2024capstone51/photos/vAdgtQ-XbQ6bZ3W0sgPOQA.jpg
h2nBTqJVHAyltyeq7sZZ-w,Blueplate,47 S Main St,Mullica Hill,NJ,8062.0,4.0,https://storage.googleapis.com/2024capstone51/photos/bMDWqzExBjalkW_3-cfmVw.jpg
cEG1r9aRMJwmRQVkh7eiJg,Falls Deli,3492 Tilden St,Philadelphia,PA,19129.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg
TttFjRQ-8Iz8by4hsD7iOQ,Angelina's,743 S 8th St,Philadelphia,PA,19147.0,4.5,https://storage.googleapis.com/2024capstone51/photos/ES_zA9pfrXRBUp_-cnmcwg.jpg
di5ihAL9VWoctHelY8kLTQ,Gigi and Big R,38th and Spruce,Philadelphia,PA,19104.0,4.0,https://storage.googleapis.com/2024capstone51/photos/MGeicRPpFWNgnf8XJKQBMQ.jpg
