,user,business_id,business_name,address,city,state,postal_code,stars,hyperlink,Model
0,Teresa,UfNta35H6m-z2xN9XFI77g,House of Thai Cuisine,3520 Cottman Ave,Philadelphia,PA,19149.0,4.5,https://storage.googleapis.com/2024capstone51/photos/4unSVbGBuku7ftKw8xpl4Q.jpg,Colaborative Filtering
1,Teresa,h85b3MFPWyaopMBy8DpBpA,Ron's Caribbean Cuisine,5726 N Broad St,Philadelphia,PA,19141.0,4.0,https://storage.googleapis.com/2024capstone51/photos/hwhXDKFgUE7pYj35xHMGug.jpg,Colaborative Filtering
2,Teresa,KDplhtRYnHOCnuIjIGR8fA,The Goat's Beard,4201 Main St,Philadelphia,PA,19127.0,4.0,https://storage.googleapis.com/2024capstone51/photos/w4slCXUHQx16iQ1XLVnqRA.jpg,Colaborative Filtering
3,Doug,30cpm1uq6xcQCmN6JTrB8w,Luke's Lobster Rittenhouse,130 S 17th St,Philadelphia,PA,19103.0,4.5,https://storage.googleapis.com/2024capstone51/photos/kp7fElitnsGUoe2iFmGHnQ.jpg,Colaborative Filtering
4,Doug,lRbHFOIFuusN2WOR_ypQ_A,Ants Pants Café,2212 S St,Philadelphia,PA,19146.0,4.0,https://storage.googleapis.com/2024capstone51/photos/u5QWmL7_r_SS2v0AX2ntYA.jpg,Colaborative Filtering
5,Doug,0KEMPs7BD_WHI6zGpDcKjw,Food & Friends,1933 Spruce St,Philadelphia,PA,19103.0,4.0,https://storage.googleapis.com/2024capstone51/photos/UE5g0CS9MI44yurl0wfbew.jpg,Colaborative Filtering
6,Doug,qRgeV1CMZawRblc2qjHo_g,El Jarocho,1138 S 13th St,Philadelphia,PA,19147.0,4.0,https://storage.googleapis.com/2024capstone51/photos/9IJE2z8gy4UcSUyF0p4FeA.jpg,Colaborative Filtering
7,N,rdDC5Ts8NZjuGHJn4bqMAQ,Cogito Coffee,105 S 12th St,Philadelphia,PA,19107.0,4.5,https://storage.googleapis.com/2024capstone51/photos/Zb2Prf03hrnIOW1TyRjjSQ.jpg,Colaborative Filtering
8,N,vVfy055EfLMdd0yJYHxiMQ,A La Mousse,145 N 11th St,Philadelphia,PA,19107.0,4.5,https://storage.googleapis.com/2024capstone51/photos/oEGO3M-d8t-RTHKFvosB7A.jpg,Colaborative Filtering
9,N,vUrTGX_7HxqeoQ_6QCVz6g,Suraya,1528 Frankford Ave,Philadelphia,PA,19125.0,4.5,https://storage.googleapis.com/2024capstone51/photos/7_88I8QFja0vC_JrwCSoAQ.jpg,Colaborative Filtering
10,N,i_FWONQD1ZBqrNE2b-M5Ug,Talula's Garden,210 W Washington Sq,Philadelphia,PA,19106.0,4.5,https://storage.googleapis.com/2024capstone51/photos/rZE_v7jJhPWpNY2kKDvQUA.jpg,Colaborative Filtering
11,N,O17dm8a_hU8zc3gAYkAK-A,Ken Love's BYOB,701 N 3rd St,Philadelphia,PA,19123.0,4.5,https://storage.googleapis.com/2024capstone51/photos/B452bbk8xX6WEj0q2KVEpw.jpg,Colaborative Filtering
12,N,yCUQ6csyVOR9krwQH9RIbQ,Haveli Virasat,4051 Market St,Philadelphia,PA,19104.0,4.5,https://storage.googleapis.com/2024capstone51/photos/v6ccpOaW5yD5T0v1MY_0dg.jpg,Colaborative Filtering
13,N,8P8HIysyyGbG8_94cG1Jyg,Entree BYOB,1608 South St,Philadelphia,PA,19146.0,4.5,https://storage.googleapis.com/2024capstone51/photos/PQC4aocWTfCxHyyC8Gbd7w.jpg,Colaborative Filtering
14,N,OAWa1WML2V1ZLJGD6V3nBQ,Middle Child,248 S 11th St,Philadelphia,PA,19107.0,4.5,https://storage.googleapis.com/2024capstone51/photos/V5DeaYsMc6UedBDpoKDQJQ.jpg,Colaborative Filtering
15,Rory,x3zNWk1qwG_KArQe-h0CYA,Health Meals By Anna,"352 Second St Pike, Ste 290",Southampton,PA,18966.0,5.0,https://storage.googleapis.com/2024capstone51/photos/6xSohRmbzsA8Q_axLxyxZg.jpg,Colaborative Filtering
16,Rory,1wa8RxjmRoz5k3fm-pE6vg,CAVA,"40 Coulter Ave, Ste 175",Ardmore,PA,19003.0,4.5,https://storage.googleapis.com/2024capstone51/photos/taV4IrzNcIyhYRDBPq_Twg.jpg,Colaborative Filtering
17,Rory,aA-6urKmmlZw9STPOHZNCg,up-RYES Bagel & Deli,22 N Bryn Mawr Ave,Bryn Mawr,PA,19010.0,4.0,https://storage.googleapis.com/2024capstone51/photos/lKktJkp5rBeJ8CD360Fp1w.jpg,Colaborative Filtering
18,Rory,zBT8l6b3wE_H541Msvg4Wg,Mama's Pizzeria,426 Belmont Ave,Bala Cynwyd,PA,19004.0,4.0,https://storage.googleapis.com/2024capstone51/photos/RwYUj6x6HM-pmki7eE4MQA.jpg,Colaborative Filtering
19,Rory,T2NZEKXgfTIPothJrLyz2A,Bella Italia,12 E Lancaster Ave,Ardmore,PA,19003.0,3.5,https://storage.googleapis.com/2024capstone51/photos/h_vCTDY9BoIxnsla2vXqOA.jpg,Colaborative Filtering
20,Lindsey,9YvxONmuEP-IXIFRrMCgSA,Sabor Puebla Taqueria & Cafe,1715 Mount Ephraim Ave,Camden,NJ,8104.0,5.0,https://storage.googleapis.com/2024capstone51/photos/wyfc5mbfedq1FGHsRszcGg.jpg,Colaborative Filtering
21,Lindsey,zZQ8Hu2c8hqsJ0Xti20HAw,Freddy's Restaurant,3200 Westfield Ave,Camden,NJ,8105.0,4.5,https://storage.googleapis.com/2024capstone51/photos/fcd0ImgIDThAv4jxihkluw.jpg,Colaborative Filtering
22,Lindsey,vhar8sfBN37RE13z9CXNEQ,Leaf,6 Kings Ct,Haddonfield,NJ,8033.0,4.5,https://storage.googleapis.com/2024capstone51/photos/pWO7awuKNXSM9gVqSseU7w.jpg,Colaborative Filtering
23,Lindsey,NyqI81Wx_d16I357OSLQ1Q,Burger Bar,3334 Federal St,Camden,NJ,8105.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Colaborative Filtering
24,Lindsey,-xY4R0jVwIDlpFx_CcZ4XA,Art's Deli,36 N Broadway,Gloucester City,NJ,8030.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Colaborative Filtering
25,Lindsey,RjWDssHiZfiB8ATazk-2dw,China Cook Express,"711 Evesham Ave, Ste 15",Somerdale,NJ,8083.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Colaborative Filtering
26,Lindsey,PJjkH_VZeQwxEJvlQ-v7wA,Pho 75,1122 Washington Ave,Philadelphia,PA,19147.0,4.5,https://storage.googleapis.com/2024capstone51/photos/2PqUGAxLa7ctWHgPXi1WRg.jpg,Colaborative Filtering
27,Lindsey,LBqAH3KQEuLX5XIWLjBGnQ,Pho 9,1200 Haddonfield Rd,Cherry Hill,NJ,8002.0,4.0,https://storage.googleapis.com/2024capstone51/photos/OPLNGyaiEDzcVVwd1UbLXQ.jpg,Colaborative Filtering
28,Rula,hYs3ioWpQr-WwV9nRD5lAg,Apple Walnut Café,2924 West Chester Pike,Broomall,PA,19008.0,4.5,https://storage.googleapis.com/2024capstone51/photos/8l78kb1buDSGePSA6OGfyg.jpg,Colaborative Filtering
29,Rula,kRvZUnDK3Rn7a7WvGUZ6QQ,The Original Clam Tavern,339 E Broadway Ave,Clifton Heights,PA,19018.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Colaborative Filtering
