user,business_id,business_name,address,city,state,postal_code,stars,hyperlink,Model
Teresa,UfNta35H6m-z2xN9XFI77g,House of Thai Cuisine,3520 Cottman Ave,Philadelphia,PA,19149.0,4.5,4unSVbGBuku7ftKw8xpl4Q.jpg,Colaborative Filtering
Teresa,h85b3MFPWyaopMBy8DpBpA,Ron's Caribbean Cuisine,5726 N Broad St,Philadelphia,PA,19141.0,4.0,hwhXDKFgUE7pYj35xHMGug.jpg,Colaborative Filtering
Teresa,KDplhtRYnHOCnuIjIGR8fA,The Goat's Beard,4201 Main St,Philadelphia,PA,19127.0,4.0,w4slCXUHQx16iQ1XLVnqRA.jpg,Colaborative Filtering
Doug,30cpm1uq6xcQCmN6JTrB8w,Luke's Lobster Rittenhouse,130 S 17th St,Philadelphia,PA,19103.0,4.5,kp7fElitnsGUoe2iFmGHnQ.jpg,Colaborative Filtering
Doug,lRbHFOIFuusN2WOR_ypQ_A,Ants Pants Café,2212 S St,Philadelphia,PA,19146.0,4.0,u5QWmL7_r_SS2v0AX2ntYA.jpg,Colaborative Filtering
Doug,0KEMPs7BD_WHI6zGpDcKjw,Food & Friends,1933 Spruce St,Philadelphia,PA,19103.0,4.0,UE5g0CS9MI44yurl0wfbew.jpg,Colaborative Filtering
Doug,qRgeV1CMZawRblc2qjHo_g,El Jarocho,1138 S 13th St,Philadelphia,PA,19147.0,4.0,9IJE2z8gy4UcSUyF0p4FeA.jpg,Colaborative Filtering
N,rdDC5Ts8NZjuGHJn4bqMAQ,Cogito Coffee,105 S 12th St,Philadelphia,PA,19107.0,4.5,Zb2Prf03hrnIOW1TyRjjSQ.jpg,Colaborative Filtering
N,vVfy055EfLMdd0yJYHxiMQ,A La Mousse,145 N 11th St,Philadelphia,PA,19107.0,4.5,oEGO3M-d8t-RTHKFvosB7A.jpg,Colaborative Filtering
N,vUrTGX_7HxqeoQ_6QCVz6g,Suraya,1528 Frankford Ave,Philadelphia,PA,19125.0,4.5,7_88I8QFja0vC_JrwCSoAQ.jpg,Colaborative Filtering
N,i_FWONQD1ZBqrNE2b-M5Ug,Talula's Garden,210 W Washington Sq,Philadelphia,PA,19106.0,4.5,rZE_v7jJhPWpNY2kKDvQUA.jpg,Colaborative Filtering
N,O17dm8a_hU8zc3gAYkAK-A,Ken Love's BYOB,701 N 3rd St,Philadelphia,PA,19123.0,4.5,B452bbk8xX6WEj0q2KVEpw.jpg,Colaborative Filtering
