user,business_id,business_name,address,city,state,postal_code,stars,hyperlink,Model
Dan,lRj_1nDUCdXS3LVSrg9vfQ,MAIDO! A Marketplace of Japan,5 E Lancaster Ave,Ardmore,PA,19003.0,4.0,https://storage.googleapis.com/2024capstone51/photos/JX8lweGz-e1ZpwjpyyfPoA.jpg,Content Recommendation
Dan,SIoCIxjn4jLt2O-4DajWJw,Mac's Tavern,226 Market St,Philadelphia,PA,19106.0,3.5,https://storage.googleapis.com/2024capstone51/photos/9t9_hC-pYBImBxYfhqIWKA.jpg,Content Recommendation
Dan,BCZX5Z3SFVvozkn3AP-kOw,Melody's Casual Vietnamese,47 E Butler Ave,Ambler,PA,19002.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Content Recommendation
Dan,qxRTFagnexBZgDe055CjkQ,Seasons 52,"160 N Gulph Rd, Ste 101",King of Prussia,PA,19406.0,4.0,https://storage.googleapis.com/2024capstone51/photos/Kuf3T0xGAaSy5ssTnlxsug.jpg,Content Recommendation
Dan,FzlwYkW9HzZ2PFDxxpcfew,Trios Tomato Pie,402 N Easton Rd,Glenside,PA,19038.0,4.0,https://storage.googleapis.com/2024capstone51/photos/jO1aOZ_jcGjIWr1MRZdypg.jpg,Content Recommendation
Dan,66Xlt-k1ZhVVq1ql6fX30A,Knishes & Dishes,545-547 Germantown Pike,Lafayette Hill,PA,19444.0,3.5,https://storage.googleapis.com/2024capstone51/photos/oxk2i1N7_nQ82nxt7tszvA.jpg,Content Recommendation
Dan,QtST1igZAi0q9LxJr6srIQ,Pearl's Oyster Bar,51 N 12th St,Philadelphia,PA,19107.0,4.0,https://storage.googleapis.com/2024capstone51/photos/ELC_ewt1um-di7SGmrPCNQ.jpg,Content Recommendation
Dan,CcKb0khFEMbVMSCjBYNMhA,Bucks County Seafood,164 N Main St,Dublin,PA,18917.0,4.5,https://storage.googleapis.com/2024capstone51/photos/WizIyyZ-4GIZWOrLOfghtQ.jpg,Content Recommendation
Karen,5v9Voa4a5MON7mAQO3gV3A,Montesano Bros Trattoria & Catering,55 Seaboldt Way,Chester Springs,PA,19425.0,4.5,https://storage.googleapis.com/2024capstone51/photos/sHwm3sX0sdmGj8W4ha0OFg.jpg,Content Recommendation
Karen,G42OqzStFgno8a0mY_w06g,FruitFlowers,1 Summit Ave,Broomall,PA,19008.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Content Recommendation
Karen,c0NtT86jsumfH2gJ-1Vjig,Naked Brewing,51 Buck Rd,Huntingdon Valley,PA,19006.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Content Recommendation
Karen,SOxWs2-rjrQIfqib7tRqpg,El Cactus,710 Rte 113,Souderton,PA,18964.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Content Recommendation
Karen,JUVtr9lqM1dCaiLPFPCeBw,Daydreams Gentlemen's Club,5200 Unruh Ave,Philadelphia,PA,19135.0,3.5,https://storage.googleapis.com/2024capstone51/photos/jQuxeUDWeYGiiQSAFeV2zQ.jpg,Content Recommendation
Karen,Vsb_640TQac9M47IYuCeTg,Cutone Mario Mushrooms,,Avondale,PA,19311.0,5.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Content Recommendation
Karen,q9WA6PqTLnB78DWPu5YJ5A,Perla,1535 S 11th St,Philadelphia,PA,19147.0,4.5,https://storage.googleapis.com/2024capstone51/photos/V2m3NmsV4CGMTdiU4hYCdw.jpg,Content Recommendation
Karen,fnO03-RX7UDC1TzXETWEsQ,Pinocchio's Restaurant,131 E Baltimore Ave,Media,PA,19063.0,3.5,https://storage.googleapis.com/2024capstone51/photos/aR9ngQYEcDM0-I8woV82aA.jpg,Content Recommendation
Stephen,Rg4TiemxYLiYm61UrQUfrA,The Hedgehog Grill,,King of Prussia,PA,19406.0,5.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Content Recommendation
Stephen,4hv1n1VBzMvE-T4UtIcOcw,Di Bruno Bros.,1730 Chestnut St,Philadelphia,PA,19103.0,4.0,https://storage.googleapis.com/2024capstone51/photos/1UQSkpDqMx0Dp3SYvZ3WNw.jpg,Content Recommendation
Stephen,SQCqLXBnzU3Bw-SiLLvgqg,Wawa,1700 Center Square Rd,Swedesboro,NJ,8085.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Content Recommendation
Stephen,dERS4qwl9v-Gwft-Ug8APA,West Ave Grille Jenkintown Restaurant and Food Truck ,718 West Ave,Jenkintown,PA,19046.0,4.0,https://storage.googleapis.com/2024capstone51/photos/jfG6Tgnw3xFfIOaSZakSUQ.jpg,Content Recommendation
