business_id,name,address,city,state,postal_code,stars,hyperlink,Model
koeubKPpi6ax4FDh7_zcWg,Palo De Azucar Cafe,862 S Broad St,Trenton,NJ,8611.0,5.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,New Content
KidSvYABnawyuS_3lIYQzQ,Mercy’s Bakery,505 S Broad St,Lansdale,PA,19446.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,New Content
bk3u2UQoo516mPz9e1_vqw,CAVA,"3741 W Chester Pike, Ste 107",Newtown Square,PA,19073.0,5.0,https://storage.googleapis.com/2024capstone51/photos/J949qoloAyKRn0J5zlbByA.jpg,New Content
n6dw_zxL_4cVO6EP_m0joQ,Dragon House,1228 Chestnut St,Philadelphia,PA,19107.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,New Content
AFIkxCPqO7613NHEIL8abQ,Heritage's,501 Beckett Rd,Swedesboro,NJ,8085.0,4.5,https://storage.googleapis.com/2024capstone51/photos/dIvOfADDNnXv2v07CkvTsw.jpg,New Content
agTcS5LYZJe4gNiXK6nNkw,Buca D’Oro ,711 Locust St,Philadelphia,PA,19106.0,4.0,https://storage.googleapis.com/2024capstone51/photos/Yam0gVr2W5RaO290IGLC0Q.jpg,New Content
Yl4Am6NhqWo_YMmo1SyU5A,Domino's Pizza,5754 Baltimore Ave,Philadelphia,PA,19143.0,2.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,New Content
ELJcgId3RiCADVIT5QbUTA,Hyon's Seafood,1320 S 21st St,Philadelphia,PA,19146.0,3.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,New Content
AtYDSsVOZT8DLWCcTBqZmQ,Hunnies Crispy Chicken,223 S Sydenham St,Philadelphia,PA,19102.0,2.0,https://storage.googleapis.com/2024capstone51/photos/Fe__Au8icCD66aFsQ7coEg.jpg,New Content
xNWueX3uZjmixQUkY38GzQ,KFC,1925 Lancaster Ave,Wilmington,DE,19805.0,3.0,https://storage.googleapis.com/2024capstone51/photos/m1wUhryuQzqS5x1nt22w1g.jpg,New Content
FBEzhE4ABeiZTGGO-BTKeQ,Philly Pretzel Factory,5742 Lower York Rd,New Hope,PA,18938.0,3.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,New Content
KE_oM4y1GMI3YMOnnqHqRQ,Subway,180 Levittown Pkwy,Levittown,PA,19056.0,2.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,New Content
WwPPNhUpIsPhLumwravwKw,Millstone Cafe,1 Hoffman's Mill Rd,Chadds Ford,PA,19317.0,3.5,https://storage.googleapis.com/2024capstone51/photos/991DDvMril_v0ZbFprfq_w.jpg,New Content
Q4OTSH9DaoeqtYcg6qYtZg,Subway,"4721 Kirkwood Hwy, Unit  5",Wilmington,DE,19808.0,1.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,New Content
uYCSHmhjghnhv8iEvRT44Q,Roma Pizza,233 S Broadway,Pennsville,NJ,8070.0,2.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,New Content
4r6xzZL0P-Hn_EDN_OWqCA,Mediterranean Foods,400 Long Ln,Upper Darby,PA,19082.0,5.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,New Content
zgaaJ6jAhKpWCtQRryJfVQ,Devito's Pizza IV,124 Tremont St,Trenton,NJ,8611.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,New Content
fgCDIVM8-PLgJuhxePt2MQ,Be Well Bakery & Cafe,884 2nd St Pike,Richboro,PA,18954.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,New Content
fnjKM583kumn7z0Z00Rc9g,Little Caesars Pizza,7153 Ogontz Ave,Philadelphia,PA,19138.0,3.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,New Content
